Date,Close,High,Low,Open,Volume
2003-12-01,2.256700038909912,2.2637999057769775,2.234100103378296,2.237499952316284,0
2003-12-08,2.3006999492645264,2.3173000812530518,2.245300054550171,2.25570011138916,0
2003-12-15,2.3550000190734863,2.3726000785827637,2.286400079727173,2.30049991607666,0
2003-12-22,2.323499917984009,2.361299991607666,2.311199903488159,2.355299949645996,0
2003-12-29,2.308799982070923,2.3340001106262207,2.291300058364868,2.3243000507354736,0
2004-01-05,2.3482000827789307,2.35509991645813,2.3027000427246094,2.309299945831299,0
2004-01-12,2.337899923324585,2.3729000091552734,2.2887001037597656,2.3480000495910645,0
2004-01-19,2.398200035095215,2.4230000972747803,2.3169000148773193,2.337599992752075,0
2004-01-26,2.418800115585327,2.428999900817871,2.363300085067749,2.3970000743865967,0
2004-02-02,2.450900077819824,2.46589994430542,2.4133999347686768,2.418800115585327,0
2004-02-09,2.4809999465942383,2.504199981689453,2.4489998817443848,2.4516000747680664,0
2004-02-16,2.486799955368042,2.5255000591278076,2.4760000705718994,2.482100009918213,0
2004-02-23,2.5006000995635986,2.5230000019073486,2.476300001144409,2.486599922180176,0
2004-03-01,2.439500093460083,2.505199909210205,2.421999931335449,2.500699996948242,0
2004-03-08,2.401400089263916,2.457900047302246,2.3680999279022217,2.4381000995635986,0
2004-03-15,2.4451000690460205,2.4463999271392822,2.389699935913086,2.401099920272827,0
2004-03-22,2.390000104904175,2.468100070953369,2.3835999965667725,2.4453999996185303,0
2004-03-29,2.4012999534606934,2.447999954223633,2.373199939727783,2.391900062561035,0
2004-04-05,2.4296000003814697,2.4403998851776123,2.3801000118255615,2.401400089263916,0
2004-04-12,2.4193999767303467,2.4583001136779785,2.388000011444092,2.430000066757202,0
2004-04-19,2.4117000102996826,2.437999963760376,2.3952999114990234,2.4189999103546143,0
2004-04-26,2.43969988822937,2.4493000507354736,2.406399965286255,2.4107000827789307,0
2004-05-03,2.473099946975708,2.48580002784729,2.427799940109253,2.440200090408325,0
2004-05-10,2.4484000205993652,2.4870998859405518,2.430299997329712,2.4732000827789307,0
2004-05-17,2.4544999599456787,2.473599910736084,2.4240000247955322,2.4482998847961426,0
2004-05-24,2.4976000785827637,2.50570011138916,2.4460999965667725,2.4542999267578125,0
2004-05-31,2.485300064086914,2.522599935531616,2.476900100708008,2.498500108718872,0
2004-06-07,2.484100103378296,2.5085999965667725,2.464900016784668,2.4855000972747803,0
2004-06-14,2.5004000663757324,2.5278000831604004,2.464600086212158,2.4844000339508057,0
2004-06-21,2.4646999835968018,2.5304999351501465,2.43969988822937,2.5004000663757324,0
2004-06-28,2.4212000370025635,2.4681999683380127,2.4089999198913574,2.4651999473571777,0
2004-07-05,2.4504001140594482,2.4565000534057617,2.4189000129699707,2.4260001182556152,0
2004-07-12,2.4519999027252197,2.4667999744415283,2.4398999214172363,2.450500011444092,0
2004-07-19,2.421099901199341,2.4535999298095703,2.4124999046325684,2.45169997215271,0
2004-07-26,2.421299934387207,2.454200029373169,2.3965001106262207,2.4212000370025635,0
2004-08-02,2.4151999950408936,2.4349000453948975,2.3928000926971436,2.4210000038146973,0
2004-08-09,2.4156999588012695,2.4354000091552734,2.4059998989105225,2.4144999980926514,0
2004-08-16,2.3571999073028564,2.420300006866455,2.3564999103546143,2.415600061416626,0
2004-08-23,2.3508999347686768,2.3722000122070312,2.3348000049591064,2.359600067138672,0
2004-08-30,2.3085999488830566,2.376199960708618,2.303299903869629,2.3512001037597656,0
2004-09-06,2.31820011138916,2.3239998817443848,2.278899908065796,2.3085999488830566,0
2004-09-13,2.3264000415802,2.3420000076293945,2.300800085067749,2.3185999393463135,0
2004-09-20,2.3024001121520996,2.327899932861328,2.2953999042510986,2.3266000747680664,0
