Date,Close,High,Low,Open,Volume
2021-06-01,8.399999618530273,9.4399995803833,7.900000095367432,9.010000228881836,22254100
2021-07-01,6.03000020980835,8.449999809265137,5.710000038146973,8.399999618530273,9525200
2021-08-01,6.769999980926514,7.159999847412109,5.269999980926514,6.170000076293945,10557100
2021-09-01,5.860000133514404,7.659999847412109,5.409999847412109,6.800000190734863,7271300
2021-10-01,8.260000228881836,9.09000015258789,5.710000038146973,5.800000190734863,17742300
2021-11-01,8.329999923706055,11.140000343322754,7.980000019073486,8.180000305175781,10358100
2021-12-01,8.420000076293945,8.979000091552734,7.380000114440918,8.479999542236328,6033200
2022-01-01,9.260000228881836,9.380000114440918,7.360000133514404,8.460000038146973,6217100
2022-02-01,13.010000228881836,13.09000015258789,9.0,9.220000267028809,13052600
2022-03-01,12.75,12.779999732971191,9.829999923706055,12.09000015258789,31405800
2022-04-01,10.829999923706055,13.460000038146973,10.40999984741211,12.779999732971191,17769900
2022-05-01,7.949999809265137,11.579999923706055,6.909999847412109,10.880000114440918,26314600
2022-06-01,4.519999980926514,9.140000343322754,4.190000057220459,7.980000019073486,42344000
2022-07-01,5.349999904632568,5.579999923706055,4.090000152587891,4.510000228881836,18323400
2022-08-01,7.0,7.684999942779541,5.010000228881836,5.119999885559082,34800000
2022-09-01,6.610000133514404,7.985000133514404,5.78000020980835,6.800000190734863,43484100
2022-10-01,8.34000015258789,8.460000038146973,6.320000171661377,6.699999809265137,24988600
2022-11-01,8.380000114440918,9.234999656677246,7.769999980926514,8.5,24630800
2022-12-01,8.170000076293945,9.604999542236328,7.829999923706055,8.369999885559082,18413000
2023-01-01,9.079999923706055,9.359999656677246,8.039999961853027,8.199999809265137,15289500
2023-02-01,10.609999656677246,11.279999732971191,8.539999961853027,9.140000343322754,27452300
2023-03-01,10.829999923706055,11.140000343322754,9.420000076293945,10.619999885559082,23036300
2023-04-01,9.710000038146973,10.949999809265137,9.53499984741211,10.75,16456500
2023-05-01,9.020000457763672,9.960000038146973,7.889999866485596,9.710000038146973,32047200
2023-06-01,8.539999961853027,9.380000114440918,8.095000267028809,8.880000114440918,21052100
2023-07-01,9.220000267028809,9.479999542236328,7.784999847412109,8.479999542236328,14379000
2023-08-01,8.130000114440918,9.75,7.239999771118164,9.15999984741211,27666400
2023-09-01,8.350000381469727,8.369999885559082,7.460000038146973,8.130000114440918,22533400
2023-10-01,7.800000190734863,9.020000457763672,7.375,8.3100004196167,29543600
2023-11-01,8.170000076293945,8.899999618530273,7.579999923706055,7.730000019073486,25072900
2023-12-01,8.819999694824219,9.239999771118164,7.650000095367432,8.149999618530273,34336400
2024-01-01,9.680000305175781,10.149999618530273,7.840000152587891,8.600000381469727,26431000
2024-02-01,10.5,10.9399995803833,9.350000381469727,9.90999984741211,29629100
2024-03-01,10.930000305175781,11.550000190734863,9.96500015258789,10.300000190734863,26164800
2024-04-01,12.359999656677246,12.989999771118164,10.300000190734863,10.920000076293945,39572700
2024-05-01,16.329999923706055,18.579999923706055,12.260000228881836,12.369999885559082,64988000
2024-06-01,17.649999618530273,17.690000534057617,15.0600004196167,16.520000457763672,49422300
2024-07-01,21.420000076293945,21.84000015258789,16.299999237060547,17.700000762939453,66424300
2024-08-01,26.40999984741211,26.40999984741211,19.899999618530273,23.329999923706055,71517900
2024-09-01,29.829999923706055,32.11000061035156,24.600000381469727,26.450000762939453,75513500
2024-10-01,27.68000030517578,34.13999938964844,25.790000915527344,30.06999969482422,80103600
2024-11-01,21.299999237060547,38.20000076293945,16.155000686645508,27.81999969482422,275415400
2024-12-01,17.989999771118164,27.790000915527344,17.18000030517578,21.299999237060547,173892400
2025-01-01,18.350000381469727,19.450000762939453,16.5,18.18000030517578,81720200
2025-02-01,17.209999084472656,26.600000381469727,15.760000228881836,17.469999313354492,157726100
2025-03-01,13.5600004196167,18.31999969482422,12.8100004196167,17.6200008392334,118761000
2025-04-01,13.0600004196167,14.725000381469727,10.6899995803833,13.510000228881836,100491900
2025-05-01,13.140000343322754,15.055000305175781,12.800000190734863,14.1850004196167,86906000
2025-06-01,15.489999771118164,18.18000030517578,12.100000381469727,13.109999656677246,191073400
2025-07-01,15.649999618530273,16.829999923706055,13.739999771118164,15.350000381469727,188820200
2025-08-01,19.639999389648438,21.020000457763672,14.550000190734863,15.140000343322754,229264900
2025-09-01,19.8700008392334,22.184999465942383,17.920000076293945,18.889999389648438,137901600
2025-10-01,17.989999771118164,21.760000228881836,16.864999771118164,20.649999618530273,191709000
2025-11-01,18.25,20.6299991607666,15.859999656677246,18.010000228881836,157341300
2025-12-01,20.350000381469727,21.3700008392334,17.239999771118164,17.780000686645508,113786200
2026-01-01,18.579999923706055,24.899999618530273,18.479999542236328,20.540000915527344,198665200
2026-02-01,16.950000762939453,19.219999313354492,14.529999732971191,18.579999923706055,193968700
2026-03-01,15.920000076293945,19.389999389648438,14.364999771118164,16.190000534057617,156179100
2026-04-01,18.420000076293945,18.790000915527344,14.505000114440918,16.200000762939453,147286500
2026-05-01,22.889999389648438,23.030000686645508,15.600000381469727,19.329999923706055,194117700
2026-06-01,19.68000030517578,25.950000762939453,17.770000457763672,23.655000686645508,206414200
2026-07-01,21.600000381469727,23.34000015258789,19.06999969482422,20.15999984741211,167302600
2026-08-01,28.684999465942383,29.889999389648438,22.030000686645508,22.049999237060547,131074253
