Date,Close,High,Low,Open,Volume
2021-06-07,8.270000457763672,9.4399995803833,8.0600004196167,9.010000228881836,12605600
2021-06-14,8.25,9.100000381469727,7.900000095367432,8.260000228881836,6269500
2021-06-21,8.420000076293945,8.9399995803833,8.020000457763672,8.300000190734863,2151800
2021-06-28,8.09000015258789,8.609999656677246,7.769999980926514,8.5600004196167,2114400
2021-07-05,7.25,8.40999984741211,6.769999980926514,8.380000114440918,2312200
2021-07-12,6.079999923706055,7.369999885559082,6.0,7.289999961853027,3053300
2021-07-19,6.210000038146973,6.5,5.710000038146973,5.949999809265137,1968700
2021-07-26,6.03000020980835,6.2789998054504395,5.96999979019165,6.110000133514404,1303800
2021-08-02,6.090000152587891,6.400000095367432,5.849999904632568,6.170000076293945,1691800
2021-08-09,5.809999942779541,6.203999996185303,5.269999980926514,6.119999885559082,3502500
2021-08-16,5.869999885559082,6.079999923706055,5.320000171661377,5.809999942779541,1963100
2021-08-23,7.110000133514404,7.159999847412109,5.880000114440918,5.909999847412109,2132900
2021-08-30,7.380000114440918,7.659999847412109,6.360000133514404,7.059999942779541,2390200
2021-09-06,6.920000076293945,7.400000095367432,6.710000038146973,7.300000190734863,1351300
2021-09-13,6.309999942779541,7.0,6.179999828338623,6.980000019073486,1615500
2021-09-20,6.0,6.349999904632568,5.908999919891357,6.170000076293945,1301500
2021-09-27,6.170000076293945,6.199999809265137,5.409999847412109,5.949999809265137,2326900
2021-10-04,8.579999923706055,8.619999885559082,6.03000020980835,6.199999809265137,12493500
2021-10-11,7.940000057220459,8.779999732971191,7.710000038146973,8.619999885559082,1482600
2021-10-18,8.180000305175781,8.579999923706055,7.840000152587891,7.949999809265137,1716500
2021-10-25,8.260000228881836,9.09000015258789,7.949999809265137,8.180000305175781,1602400
2021-11-01,9.199999809265137,9.579999923706055,8.180000305175781,8.180000305175781,1833600
2021-11-08,9.479999542236328,11.140000343322754,9.140000343322754,9.319999694824219,5063100
2021-11-15,8.4399995803833,9.630000114440918,8.369999885559082,9.619999885559082,2040200
2021-11-22,8.350000381469727,8.649999618530273,7.980000019073486,8.319999694824219,899500
2021-11-29,7.599999904632568,8.54699993133545,7.400000095367432,8.430000305175781,1862500
2021-12-06,8.449999809265137,8.979000091552734,7.380000114440918,7.75,1164500
2021-12-13,8.149999618530273,8.59000015258789,7.400000095367432,8.359999656677246,1526400
2021-12-20,8.399999618530273,8.649999618530273,7.809999942779541,8.050000190734863,957500
2021-12-27,8.420000076293945,8.789999961853027,7.880000114440918,8.319999694824219,1044000
2022-01-03,8.020000457763672,8.800000190734863,7.829999923706055,8.460000038146973,1091200
2022-01-10,8.609999656677246,9.069999694824219,7.800000190734863,7.96999979019165,1249800
2022-01-17,8.050000190734863,8.75,7.989999771118164,8.420000076293945,1139600
2022-01-24,8.359999656677246,8.420000076293945,7.360000133514404,7.900000095367432,1844300
2022-01-31,9.880000114440918,10.029999732971191,8.34000015258789,8.34000015258789,2339000
2022-02-07,11.289999961853027,12.210000038146973,9.920000076293945,10.039999961853027,3958100
2022-02-14,11.09000015258789,12.100000381469727,10.9399995803833,11.199999809265137,2056900
2022-02-21,12.420000076293945,12.800000190734863,9.729999542236328,10.9399995803833,4848300
2022-02-28,11.029999732971191,13.09000015258789,10.100000381469727,12.350000381469727,6890400
2022-03-07,10.829999923706055,11.739999771118164,9.829999923706055,11.170000076293945,6074600
2022-03-14,10.350000381469727,11.479999542236328,9.960000038146973,10.75,10140800
2022-03-21,10.920000076293945,11.15999984741211,10.020000457763672,10.359999656677246,5822700
2022-03-28,12.350000381469727,12.899999618530273,10.829999923706055,10.829999923706055,4626300
2022-04-04,13.3100004196167,13.460000038146973,11.649999618530273,12.390000343322754,5394500
2022-04-11,12.800000190734863,13.3100004196167,12.430000305175781,13.229999542236328,3625100
2022-04-18,10.550000190734863,12.800000190734863,10.420000076293945,12.630000114440918,4854800
2022-04-25,10.829999923706055,11.600000381469727,10.40999984741211,10.470000267028809,2489000
2022-05-02,8.640000343322754,11.579999923706055,7.730000019073486,10.880000114440918,9165400
2022-05-09,8.1899995803833,8.649999618530273,6.909999847412109,8.380000114440918,7883000
2022-05-16,7.75,8.399999618530273,7.449999809265137,8.180000305175781,4568600
2022-05-23,8.260000228881836,8.270000457763672,7.144999980926514,8.0,3641200
2022-05-30,8.670000076293945,8.970000267028809,7.78000020980835,8.25,4150300
2022-06-06,6.400000095367432,9.140000343322754,5.949999809265137,8.859999656677246,10286000
2022-06-13,5.260000228881836,6.269999980926514,5.119999885559082,6.070000171661377,10414800
2022-06-20,5.559999942779541,5.909999847412109,4.789999961853027,5.300000190734863,13358200
2022-06-27,4.269999980926514,5.519999980926514,4.190000057220459,5.460000038146973,6445600
2022-07-04,4.909999847412109,5.079999923706055,4.090000152587891,4.119999885559082,3716900
2022-07-11,4.5,4.889999866485596,4.159999847412109,4.789999961853027,5659600
2022-07-18,5.260000228881836,5.579999923706055,4.5,4.539999961853027,4421400
2022-07-25,5.349999904632568,5.570000171661377,4.804999828338623,5.230000019073486,3271000
2022-08-01,6.889999866485596,7.400000095367432,5.010000228881836,5.119999885559082,8265700
2022-08-08,7.579999923706055,7.684999942779541,6.590000152587891,6.880000114440918,8009700
2022-08-15,6.460000038146973,7.605000019073486,6.360000133514404,7.460000038146973,4901200
2022-08-22,6.480000019073486,6.914999961853027,6.21999979019165,6.269999980926514,6543100
2022-08-29,6.389999866485596,7.150000095367432,6.059999942779541,6.300000190734863,10490300
2022-09-05,7.659999847412109,7.860000133514404,6.480000019073486,6.539999961853027,6289800
2022-09-12,6.730000019073486,7.985000133514404,6.519999980926514,7.730000019073486,22530000
2022-09-19,6.079999923706055,6.769999980926514,5.78000020980835,6.489999771118164,6009600
2022-09-26,6.610000133514404,6.980000019073486,6.070000171661377,6.070000171661377,5244700
2022-10-03,7.039999961853027,7.670000076293945,6.364999771118164,6.699999809265137,4892900
2022-10-10,6.71999979019165,7.409999847412109,6.320000171661377,7.070000171661377,4577000
2022-10-17,7.639999866485596,7.71999979019165,6.920000076293945,6.920000076293945,5296400
2022-10-24,8.279999732971191,8.3100004196167,7.125,7.579999923706055,8383500
2022-10-31,8.300000190734863,8.859999656677246,7.769999980926514,8.199999809265137,10140700
2022-11-07,8.770000457763672,8.859999656677246,7.829999923706055,8.239999771118164,6054000
2022-11-14,8.319999694824219,9.234999656677246,8.289999961853027,8.649999618530273,5380000
2022-11-21,8.529999732971191,8.5600004196167,7.789999961853027,8.229999542236328,2239200
2022-11-28,8.779999732971191,8.8100004196167,8.199999809265137,8.449999809265137,4615100
2022-12-05,8.920000076293945,9.09000015258789,8.010000228881836,8.770000457763672,4187500
2022-12-12,8.600000381469727,9.604999542236328,8.46500015258789,8.899999618530273,6458100
2022-12-19,8.210000038146973,8.789999961853027,8.039999961853027,8.630000114440918,3471300
2022-12-26,8.170000076293945,8.1899995803833,7.829999923706055,8.1899995803833,2336700
2023-01-02,8.140000343322754,8.600000381469727,8.039999961853027,8.199999809265137,3035900
2023-01-09,8.869999885559082,8.880000114440918,8.260000228881836,8.260000228881836,3249400
2023-01-16,8.680000305175781,9.0,8.40999984741211,8.789999961853027,2338800
2023-01-23,9.109999656677246,9.229999542236328,8.550000190734863,8.6899995803833,3927300
2023-01-30,9.800000190734863,10.350000381469727,8.90999984741211,9.0,6592200
2023-02-06,8.729999542236328,9.779999732971191,8.640000343322754,9.640000343322754,4226400
2023-02-13,9.520000457763672,10.479999542236328,8.539999961853027,8.729999542236328,5104400
2023-02-20,10.699999809265137,10.75,9.039999961853027,9.260000228881836,7852100
2023-02-27,11.020000457763672,11.279999732971191,10.0,10.739999771118164,10008000
2023-03-06,10.229999542236328,11.140000343322754,10.15999984741211,11.020000457763672,4850900
2023-03-13,9.850000381469727,10.602999687194824,9.739999771118164,10.130000114440918,5880000
2023-03-20,10.25,10.630000114440918,9.420000076293945,9.859999656677246,5179400
2023-03-27,10.829999923706055,10.9399995803833,10.199999809265137,10.270000457763672,3533300
2023-04-03,10.1899995803833,10.949999809265137,9.595000267028809,10.75,3439100
2023-04-10,10.199999809265137,10.5,9.710000038146973,9.989999771118164,4325600
2023-04-17,10.380000114440918,10.710000038146973,10.029999732971191,10.239999771118164,4032000
2023-04-24,9.710000038146973,10.420000076293945,9.53499984741211,10.300000190734863,4659800
2023-05-01,8.34000015258789,9.960000038146973,7.954999923706055,9.710000038146973,9086700
2023-05-08,8.130000114440918,8.524999618530273,8.029999732971191,8.359999656677246,5097900
2023-05-15,8.289999961853027,8.475000381469727,7.889999866485596,8.140000343322754,7825100
